"Row.names","logFC","logCPM","PValue","FDR","dko","sko"
"Pi16",-1.48853025202972,3.72318073943714,3.80722877139603e-07,4.49822300261575e-05,127.25,357
"Lrrn1",0.939999854898111,2.9880101983022,4.5791076064221e-07,5.36009984818409e-05,188,98
"Trp53inp2",-0.356539319982886,6.81208589899051,5.04925268781311e-07,5.85620664948012e-05,1807,2314.5
"Fgd3",0.707427817009478,3.60221303695924,5.10135947799097e-07,5.86285332006925e-05,273,167.25
"Slc7a2",-0.775671037105242,5.26923650043599,5.33377901794316e-07,6.07474183286824e-05,521.25,892.5
"0610040J01Rik",0.39419147257079,6.20491150763258,5.5780716772412e-07,6.296248405686e-05,1534.25,1168
"Lbh",-0.439120936661351,7.11887989491122,5.98429982523386e-07,6.69500162748729e-05,2164.5,2934.75
"Qpct",-0.976485097569711,2.92909302481584,6.15874631509378e-07,6.8297255188961e-05,93,183.5
"Pcm1",0.337968141867918,7.95760828601683,6.67333218191929e-07,7.33602308207162e-05,5091.75,4028
"Eps8",1.02340525874073,5.34256781507977,6.90752154073909e-07,7.52800752741583e-05,993.75,488.5
"Cntn4",-1.64759659750965,1.79820740986813,6.9710789930414e-07,7.53234022478883e-05,30.5,95
"Map4k5",-0.335819125665753,7.59026188429731,7.03622770918166e-07,7.53830429656564e-05,3126.25,3944.75
"Trpv6",0.748983908408599,4.5115454339084,7.67651720149954e-07,8.15517062700481e-05,521,309.75
"Ackr3",-0.702160130082707,4.4548134967792,8.9688701992122e-07,9.38740549066943e-05,305.5,497.25
"Bgn",-0.450153147743534,7.70942037818334,8.98493960109951e-07,9.38740549066943e-05,3245.75,4434.25
"Ndp",-1.00245917376073,3.20266670642768,9.71425983848838e-07,0.00010066202694932,111.75,224
"Has2",1.1922381311366,2.4063535332808,1.03748232013106e-06,0.000106632938952007,131,57.25
"Gm5900",3.78852933852071,1.42646882312873,1.07711143485641e-06,0.000109813248060119,85.25,6
"Pltp",-0.612098025646976,4.70273084524949,1.15478304862655e-06,0.000116790138405894,377.25,576.25
"Dclk1",-0.562372195850907,5.27184447387497,1.31901084326066e-06,0.000132340754607153,571.75,843.5
"Pcp4l1",-0.734061582765975,4.37161954765171,1.33548039730487e-06,0.000132938135297072,284.25,473
"2810428I15Rik",0.431313910880381,5.04042943649117,1.3749315617491e-06,0.000135795975028376,690.25,512.25
"Gria4",-0.659425373353013,3.90818094647487,1.49145700436501e-06,0.000145930905842328,213,336
"Pcdh8",2.78663493838236,1.80762240305779,1.5006342160657e-06,0.000145930905842328,107.5,15.5
"Igsf8",0.463013733096964,5.69349398189029,1.56432133185415e-06,0.000150962979216032,1097.5,796.25
"Ngfr",0.799112524784841,6.23006140960038,1.61103544049315e-06,0.000154293257869048,1745.5,1003.25
"Adat2",0.59652278739614,4.04075766443129,1.72300133882067e-06,0.000163775811468954,360.25,238.25
"Hif1a",-0.374879713743936,9.05183124216847,1.94189347471496e-06,0.000183204606771243,8480.75,10997.25
"Hdhd3",0.771531482814252,3.79553409850879,2.01057202484489e-06,0.000188278900282142,317.75,186
"Dio2",-0.85085201236269,6.56178641838612,2.02567203683063e-06,0.000188298131541271,1236,2230
"Il11ra1",-0.466423346758758,4.82699209057515,2.08166906473344e-06,0.000192090951214308,436.75,602.75
"Jrk",0.537496271759991,4.63292965562666,2.11360217513442e-06,0.000193624338391662,535.75,369.5
"Gpr19",0.861976420278603,2.82813211670819,2.27661237917005e-06,0.0002070570769602,164.75,90.5
"Ctsl",0.454508268418578,8.79982487483509,2.58078235849782e-06,0.000230341679412627,9454.25,6899.25
"Serpina3g",1.2586158942565,1.35865764820186,2.56520866564734e-06,0.000230341679412627,62.5,26.25
"Smim7",-0.333653818950529,7.25166079062692,2.58728986525811e-06,0.000230341679412627,2473.25,3117.75
"Mvb12a",-0.365161057980331,6.13178235067477,2.69389644777984e-06,0.000238155516733096,1123.25,1447.5
"Lpar2",-0.42968264001068,4.97302861998425,2.9275820215659e-06,0.00025701730497664,489.75,660
"H2-Q4",0.573610905091985,5.12754991258973,3.04759540940538e-06,0.000265708283901399,764.5,513.5
"Slc28a3",0.385898715900619,6.08307695444931,3.24666829041523e-06,0.000281125894023489,1407,1076.25
"2310045N01Rik",0.415718373899848,5.33046548460809,3.55501527944122e-06,0.000303665561910107,841.25,630.5
"Jak3",0.534014954130848,4.57416028278521,3.53552224554797e-06,0.000303665561910107,514.5,355
"Cfb",1.0456011270264,1.97613780868378,3.64610849146123e-06,0.000309356399658073,93.75,45.25
"Napepld",0.480202825929428,5.58872732786607,3.67629400539651e-06,0.000309838058774818,1025.5,735.25
"Chrna4",0.786622151175687,4.00998944926131,3.83745926592057e-06,0.000321279205561376,370.5,214.75
"Sulf1",-0.646411177297703,5.34715294042549,3.91318498504591e-06,0.000325463714348358,581.75,910.5
"Spcs3",0.334567642836751,6.82386987263993,3.9955120513479e-06,0.000330138976164315,2316.5,1837
"Camk2d",-0.4489873277101,4.98687154811596,4.14746159816252e-06,0.000340468893012796,491,670
"Tuft1",0.518064238001296,5.3271405138367,4.24562214642661e-06,0.000346278420484678,864.75,603.75
"Gpr116",-0.375689734446059,6.71338489450824,4.85812178875755e-06,0.000393694715727391,1675.75,2173.75
"Hoxd9",-0.491891975502899,5.07550198664986,5.22361153808503e-06,0.000420617178754592,513.75,721.75
"Cbs",-0.750148431753801,5.00150548957575,5.3670018077053e-06,0.000429428081348167,437.5,736.75
"Smoc2",-0.754938500099061,6.11347306915563,5.5967237373819e-06,0.000444992336402403,944.75,1594
"Pglyrp1",0.755134706530984,3.09243984144999,5.97004419355651e-06,0.000471708116843384,193.5,114.5
"Dhx58",0.550146744032641,4.99420637223012,6.10346970462968e-06,0.000479255055937444,692.25,472
"Slc26a4",-0.602617380465781,5.80689687772547,6.18569093797934e-06,0.000482712992826759,814.75,1237.5
"Cited4",-1.15389022673645,2.26918731069821,6.28886695033071e-06,0.000487753717706018,54,120.25
"Tppp3",-0.883223784533638,5.04713851176534,6.7855700258981e-06,0.000519898037984265,426.25,785.5
"Vegfc",-0.862122952951365,3.10453930702118,6.75893061865348e-06,0.000519898037984265,111,202.25
"Ifi30",0.339091314426576,6.80606525446876,7.03486449781564e-06,0.000535751548080635,2291.25,1811.25
"Lyve1",-1.07857834795412,2.97697699133539,7.52097543261557e-06,0.000569342343827102,92,194.75
"Dact2",-0.491824138838775,5.17016495001678,7.69593281367731e-06,0.000579118944229218,548.25,770.75
"Mmp9",1.04297133222248,2.21339084922552,7.91143735257181e-06,0.00059181296456339,110.75,53.75
"Galnt3",-0.419224804192255,6.35349764038003,8.00168341010972e-06,0.000595042833356512,1283,1716
